question_id,section_key,section_name,prompt,reverse_scored,question_weight_default,scoring_family,notes,option_key,option_text,signal_code,signal_weight
1,core_behaviour,Core Behaviour Signals,"When starting a new piece of work, I usually:",False,1.0,core,,A,move quickly and refine as I go,Core_Driver,1.0
1,core_behaviour,Core Behaviour Signals,"When starting a new piece of work, I usually:",False,1.0,core,,B,talk through the approach with others before moving,Core_Influencer,1.0
1,core_behaviour,Core Behaviour Signals,"When starting a new piece of work, I usually:",False,1.0,core,,C,make sure expectations are clear and people are aligned,Core_Stabiliser,1.0
1,core_behaviour,Core Behaviour Signals,"When starting a new piece of work, I usually:",False,1.0,core,,D,review the detail before taking action,Core_Analyst,1.0
2,core_behaviour,Core Behaviour Signals,My natural pace of work is usually:,False,1.0,core,,A,fast and outcome-focused,Core_Driver,1.0
2,core_behaviour,Core Behaviour Signals,My natural pace of work is usually:,False,1.0,core,,B,energetic and interactive,Core_Influencer,1.0
2,core_behaviour,Core Behaviour Signals,My natural pace of work is usually:,False,1.0,core,,C,steady and consistent,Core_Stabiliser,1.0
2,core_behaviour,Core Behaviour Signals,My natural pace of work is usually:,False,1.0,core,,D,methodical and deliberate,Core_Analyst,1.0
3,core_behaviour,Core Behaviour Signals,"When priorities change suddenly, I tend to:",False,1.0,core,,A,adjust quickly and keep moving,Core_Driver,1.0
3,core_behaviour,Core Behaviour Signals,"When priorities change suddenly, I tend to:",False,1.0,core,,B,speak with others to get alignment,Core_Influencer,1.0
3,core_behaviour,Core Behaviour Signals,"When priorities change suddenly, I tend to:",False,1.0,core,,C,look for a stable way to keep work on track,Core_Stabiliser,1.0
3,core_behaviour,Core Behaviour Signals,"When priorities change suddenly, I tend to:",False,1.0,core,,D,reassess the implications before acting,Core_Analyst,1.0
4,core_behaviour,Core Behaviour Signals,I am usually most comfortable with work that is:,False,1.0,core,,A,stretching and outcome-focused,Core_Driver,1.0
4,core_behaviour,Core Behaviour Signals,I am usually most comfortable with work that is:,False,1.0,core,,B,people-facing and interactive,Core_Influencer,1.0
4,core_behaviour,Core Behaviour Signals,I am usually most comfortable with work that is:,False,1.0,core,,C,cooperative and dependable,Core_Stabiliser,1.0
4,core_behaviour,Core Behaviour Signals,I am usually most comfortable with work that is:,False,1.0,core,,D,technical or analytical,Core_Analyst,1.0
5,core_behaviour,Core Behaviour Signals,"In uncertain situations, I usually:",False,1.0,core,,A,move forward and adjust if needed,Core_Driver,1.0
5,core_behaviour,Core Behaviour Signals,"In uncertain situations, I usually:",False,1.0,core,,B,check in with others before deciding,Core_Influencer,1.0
5,core_behaviour,Core Behaviour Signals,"In uncertain situations, I usually:",False,1.0,core,,C,look for reassurance that the plan is workable,Core_Stabiliser,1.0
5,core_behaviour,Core Behaviour Signals,"In uncertain situations, I usually:",False,1.0,core,,D,gather more information first,Core_Analyst,1.0
6,core_behaviour,Core Behaviour Signals,My attention to detail is usually:,False,1.0,core,,A,focused mainly on what most affects the outcome,Core_Driver,1.0
6,core_behaviour,Core Behaviour Signals,My attention to detail is usually:,False,1.0,core,,B,balanced with keeping communication moving,Core_Influencer,1.0
6,core_behaviour,Core Behaviour Signals,My attention to detail is usually:,False,1.0,core,,C,applied to consistency and follow-through,Core_Stabiliser,1.0
6,core_behaviour,Core Behaviour Signals,My attention to detail is usually:,False,1.0,core,,D,highly focused on accuracy and precision,Core_Analyst,1.0
7,core_behaviour,Core Behaviour Signals,Feedback usually has the biggest impact on me when it:,False,1.0,core,,A,helps me improve results quickly,Core_Driver,1.0
7,core_behaviour,Core Behaviour Signals,Feedback usually has the biggest impact on me when it:,False,1.0,core,,B,is discussed openly and constructively,Core_Influencer,1.0
7,core_behaviour,Core Behaviour Signals,Feedback usually has the biggest impact on me when it:,False,1.0,core,,C,is delivered with care and context,Core_Stabiliser,1.0
7,core_behaviour,Core Behaviour Signals,Feedback usually has the biggest impact on me when it:,False,1.0,core,,D,is specific and well reasoned,Core_Analyst,1.0
8,core_behaviour,Core Behaviour Signals,My decision-making style is usually:,False,1.0,core,,A,fast and practical,Core_Driver,1.0
8,core_behaviour,Core Behaviour Signals,My decision-making style is usually:,False,1.0,core,,B,discussion-led and people-aware,Core_Influencer,1.0
8,core_behaviour,Core Behaviour Signals,My decision-making style is usually:,False,1.0,core,,C,careful and steady,Core_Stabiliser,1.0
8,core_behaviour,Core Behaviour Signals,My decision-making style is usually:,False,1.0,core,,D,evidence-led and analytical,Core_Analyst,1.0
